owner_no,owner_name,description,manufacturer_code,price,
6,TravisPerkins,Makita 240V Corded 720 W Diamond Blade Slim Angle Grinder 115mm ,GA4530RKD,57.6,
6,TravisPerkins,Makita 240V Corded SDS-Plus 3 Mode Rotary Hammer Drill One Touch Chuck ,HR2630,114,
6,TravisPerkins,Makita LXT Cordless Hammer Drill and Impact Driver 18V - 2 Pack,DLX2145TJ,300,
6,TravisPerkins,Makita  Palm Sander 240V,B04556,57.6,
6,TravisPerkins,Makita  230mm Angle Grinder With Diamond Blade 240V,GA9020KD,109.2,
6,TravisPerkins,Makita  Lxt Impact Wrench Body Only 18V,DTW190Z,84,
6,TravisPerkins,Makita  Lxt Angle Grinder Body Only 18V 115mm,DGA452Z,102,
6,TravisPerkins,Makita  Planer Thicknesser 240V,2012NB,474,
6,TravisPerkins,Makita  10in Slide Compound Mitre Saw with Laser Guide 110V 260mm,LS1018LN,360,
6,TravisPerkins,Makita 18V Li-ion 4.0AH LXT Battery ,BL1840,74.4,
6,TravisPerkins,Makita  Bandsaw 240V,LB1200F,528,
6,TravisPerkins,Makita 1 230mm and 115mm Angle Grinder Twin Pack 110V,DK0056Z1,116.35,
6,TravisPerkins,Makita  Lxt Pin Nailer Body Only 18V,DPT353Z,330,
6,TravisPerkins,Makita Table Mitre Saw 240V,LH1201FL,408,
6,TravisPerkins,Makita  Wet Stone Polisher 110V,PW5000C,270,
6,TravisPerkins,Makita Table Saw & Stand 240V,2704NX,786,
6,TravisPerkins,Makita 240V Corded 720W Orbital Jigsaw, 4350FCT,126,
6,TravisPerkins,Makita  Lxt Brushless Oil Pulse Driver Body Only 18V,DTS141ZJ,288,
6,TravisPerkins,Makita  Lxt Brushless Router Trimmer Body Only 18V,DRT50ZX4,168,
6,TravisPerkins,Makita 240V Corded 720 W Diamond Blade Slim Angle Grinder 115mm ,GA4530RKD,57.6,
6,TravisPerkins,Makita 240V Corded SDS-Plus 3 Mode Rotary Hammer Drill One Touch Chuck ,HR2630,114,
6,TravisPerkins,Makita LXT Cordless Hammer Drill and Impact Driver 18V  - 2 Pack,DLX2145TJ,300,
6,TravisPerkins,Makita  Palm Sander 240V,B04556,57.6,
6,TravisPerkins,Makita  230mm Angle Grinder With Diamond Blade 240V,GA9020KD,109.2,
6,TravisPerkins,Makita  Lxt Impact Wrench Body Only 18V,DTW190Z,84,
6,TravisPerkins,Makita  Lxt Angle Grinder Body Only 18V 115mm,DGA452Z,102,
6,TravisPerkins,Makita  Planer Thicknesser 240V,2012NB,474,
